ADM2_NAME,SAR_VV,NDWI
Anantapur,-10.997893329392666,-0.40676362210771794
Chittoor,-9.587861038964459,-0.4624792344271955
Cuddapah,-9.742708684894371,-0.43352732940633976
East Godavari,-9.25604035235824,-0.509323349508775
Guntur,-9.889314142735236,-0.488624601528987
Krishna,-9.982748262090237,-0.4483768483075824
Kurnool,-10.58433167636028,-0.4309866274932639
Nellore,-10.75583578392275,-0.44587166141677326
Prakasam,-10.081702078646986,-0.45249004704370843
Srikakulam,-9.411380906730532,-0.493594709088964
Vishakhapatnam,-8.291342385978444,-0.5303399962497451
Vizianagaram,-8.477621344926122,-0.4923965531928537
West Godavari,-9.541673001766174,-0.4602043003106252
