LI-Schemes_Summary

District,Lift Irrigation Schemes,,,,,,,No. of Beneficiaries,Contemplated Ayacut (acres)
,Lift Irrigation Schemes,,,Mini Lift Irrigation Schemes,,,Total,,
,Functioning,Non-Functioning,Abandoned,Functioning,Non-Functioning,Abandoned,,,
Srikakulam,32,0,2,0,0,0,34,19151,20424.05
Vizianagaram,12,0,5,0,0,0,17,3560,3069.81
Parvathipuram Manyam,22,0,19,0,0,0,41,2648,3866.89
Alluri Sitharama Raju,22,0,1,1,0,0,24,1562,2946.61
Polavaram,28,0,8,0,0,0,36,925,3613.7
Visakhapatnam,1,0,2,0,0,0,3,115,108.29
Anakapalli,7,0,9,0,0,0,16,2205,1467.2
Kakinada,11,0,1,0,0,0,12,7156,10590.39
Konaseema,1,0,0,0,0,0,1,1736,1798.61
East Godavari,10,0,0,0,0,0,10,10646,17710.84
West Godavari,10,0,0,0,0,0,10,13204,19062.9
Eluru,15,0,6,0,0,0,21,8173,14793.22
Krishna,12,0,2,0,0,0,14,4223,7808.69
NTR,97,0,8,1,0,1,107,41039,82502.32
Guntur,54,0,3,0,0,0,57,46299,71542.93
Bapatla,63,0,6,7,0,0,76,43600,71344.95
Palnadu,148,0,1,0,0,0,149,85303,149421.1
Prakasam,158,0,51,45,0,0,254,29458,67925.3
Markapuram,10,0,2,2,0,0,14,1053,3588
Sri Potti Sriramulu Nellore,55,0,8,0,0,0,63,7769,14457.5
Kurnool,56,0,3,0,0,0,59,10616,46258.28
Nandyal,33,0,7,0,0,0,40,16351,48401.98
Ananthapuramu,14,0,3,0,0,0,17,1609,5321.68
Sri Sathya Sai,3,0,1,0,0,0,4,332,826
Y.S.R Kadapa,29,0,5,0,0,0,34,5072,11853
Annamayya,-,-,-,-,-,-,0,0,0
Chittoor,3,0,0,0,0,0,3,323,427
Tirupati,6,0,1,0,0,0,7,978,1620
COASTAL ANDHRA REGION,768,0,134,56,0,1,959,329825,568043.3
RAYALASEEMA REGION,144,0,20,0,0,0,164,35281,114707.94
TOTAL,151,0,22,0,0,0,1123,365106,682751.24
