MITANK_FILL_REPORT

District,No.of MI Tanks,Storage Capacity (T.M.C),Current Storage (T.M.C),,Last Year Storage (T.M.C),Change in Storage (T.M.C),No.of Tanks With Storage,,,,,
,,Total,Current Storage,Fill (%),,,Full,0.75,0.5,0.25,0,Others
Srikakulam,6481,9.84,6.73,68.38,6.69,0.04,1891,1323,986,2480,1530,0
Vizianagaram,8013,18.97,12.14,64.02,15.25,-3.11,2102,1975,2120,1380,1371,0
Parvathipuram Manyam,2808,6.59,0,0,4.08,0,0,0,0,0,0,2808
Alluri Sitharama Raju,29,0.17,0,0,0.37,0,0,0,0,0,0,29
Polavaram,474,0.31,0,0,0,0,0,0,0,0,0,474
Visakhapatnam,524,1.24,5.83,100,0.95,4.88,925,936,761,422,178,0
Anakapalli,2683,7.06,0,0,5.7,0,0,0,0,0,0,2683
Kakinada,533,1.22,0,0,0.86,0,0,0,0,0,0,533
East Godavari,863,11.91,5.96,50.07,6.51,-0.55,458,418,466,193,30,0
West Godavari,55,0.62,4.3,100,0.29,4.01,331,279,171,91,458,0
Eluru,1513,9.9,0,0,5.15,0,0,0,0,0,0,1513
Krishna,98,2.35,11.69,100,1.78,9.91,184,354,109,91,150,0
NTR,439,10.44,0,0,5.16,0,0,0,0,0,0,439
Guntur,43,0.33,2.39,100,0.3,2.09,65,85,60,23,8,0
Bapatla,6,0.06,0,0,0.62,0,0,0,0,0,0,6
Palnadu,228,2.38,0,0,2.26,0,0,0,0,0,0,228
Prakasam,395,7.68,5.12,66.69,2.18,2.94,61,60,108,181,475,0
Markapuram,544,9.93,0,0,0,0,0,0,0,0,0,544
Sri Potti Sriramulu Nellore,886,15.16,15.49,100,3.98,11.51,450,298,395,418,192,0
Kurnool,246,3.75,6.52,100,1.92,4.6,198,91,89,99,98,0
Nandyal,330,5.57,0,0,3.22,0,0,0,0,0,0,330
Ananthapuramu,304,7.69,10.47,100,2.66,7.81,452,115,159,249,514,0
Sri Sathya Sai,1180,15.2,0,0,2.96,0,0,0,0,0,0,1180
Y.S.R Kadapa,633,10.69,8.19,76.57,3.44,4.75,352,176,245,304,315,0
Annamayya,3765,13.21,0,0,2.75,0,0,0,0,0,0,3765
Chittoor,3106,12.99,22.33,100,5.98,16.35,2741,1439,1682,1179,610,0
Tirupati,2421,20.93,0,0,10.88,0,0,0,0,0,0,2421
COASTAL ANDHRA REGION,26615,116.17,69.65,59.96,62.11,7.54,6467,5728,5176,5279,4392,9257
RAYALASEEMA REGION,11985,90.03,47.5,52.77,33.82,13.68,3743,1821,2175,1831,1537,7696
Andhra Pradesh,38600,206.19,117.16,56.82,95.93,21.23,10210,7549,7351,7110,5929,16953
