MITANK_FILL_REPORT

District,No.of MI Tanks,Storage Capacity (T.M.C),Current Storage (T.M.C),,Last Year Storage (T.M.C),Change in Storage (T.M.C),No.of Tanks With Storage,,,,,
,,Total,Current Storage,Fill (%),,,Full,0.75,0.5,0.25,0,Others
Srikakulam,6481,9.84,8.82,89.62,6.69,2.13,4250,1564,524,25,51,67
Vizianagaram,8013,18.97,12.55,66.18,15.25,-2.7,1730,2232,3588,374,15,74
Parvathipuram Manyam,2808,6.59,5.11,77.46,4.08,1.03,1127,857,712,98,11,3
Alluri Sitharama Raju,29,0.17,0.1,56.92,0.37,-0.27,4,1,13,10,1,0
Polavaram,474,0.31,0.22,70.64,0,0,33,228,91,44,4,74
Visakhapatnam,524,1.24,1.18,95.8,0.95,0.23,478,38,5,2,0,1
Anakapalli,2683,7.06,5.6,79.36,5.7,-0.1,1386,804,306,147,23,17
Kakinada,533,1.22,0.42,34.39,0.86,-0.44,57,54,118,178,112,14
East Godavari,863,11.91,10.87,91.27,6.51,4.36,502,100,135,26,15,85
West Godavari,55,0.62,0.47,76.61,0.29,0.18,48,4,2,1,0,0
Eluru,1513,9.9,9.28,93.69,5.15,4.13,1052,364,62,19,9,7
Krishna,98,2.35,1.81,77.17,1.78,0.03,13,77,6,2,0,0
NTR,439,10.44,6.64,63.59,5.16,1.48,130,59,68,101,80,1
Guntur,43,0.33,0.18,54.69,0.3,-0.12,4,11,27,1,0,0
Bapatla,6,0.06,0.03,40.91,0.62,-0.59,0,0,3,3,0,0
Palnadu,228,2.38,1.83,76.95,2.26,-0.43,121,40,37,10,18,2
Prakasam,395,7.68,3.55,46.16,2.18,1.37,14,63,65,172,71,10
Markapuram,544,9.93,2.26,22.78,0,0,19,1,42,221,227,34
Sri Potti Sriramulu Nellore,886,15.16,9.34,61.61,3.98,5.36,235,218,164,168,101,0
Kurnool,246,3.75,2.82,75.04,1.92,0.9,65,66,76,13,26,0
Nandyal,330,5.57,3.01,54.05,3.22,-0.21,20,9,161,119,21,0
Ananthapuramu,304,7.69,2.28,29.67,2.66,-0.38,34,8,25,51,186,0
Sri Sathya Sai,1180,15.2,4.22,27.76,2.96,1.26,59,54,81,307,679,0
Y.S.R Kadapa,633,10.69,8.42,78.8,3.44,4.98,243,67,114,173,36,0
Annamayya,3765,13.21,8.38,63.44,2.75,5.63,949,840,1081,536,359,0
Chittoor,3106,12.99,9.98,76.8,5.98,4,1358,567,443,409,329,0
Tirupati,2421,20.93,10.19,48.69,10.88,-0.69,301,405,446,814,453,2
COASTAL ANDHRA REGION,26615,116.17,80.26,69.09,62.11,18.15,11203,6715,5968,1602,738,389
RAYALASEEMA REGION,11985,90.03,49.3,54.76,33.82,15.48,3029,2016,2427,2422,2089,2
Andhra Pradesh,38600,206.19,129.56,62.83,95.93,33.63,14232,8731,8395,4024,2827,391
