District Wise Rainfall For Andhra Pradesh From Nov 01-2021  To Nov 30-2021 

DISTRICT,Nov 01-2021 - Nov 30-2021,,,
,Normal (mm),Actual (mm),Deviation (%),Status
Srikakulam,99.24,147.93,49.06,Excess
Vizianagaram,79.21,114.54,44.6,Excess
Parvathipuram Manyam,54.75,-,-,-
Alluri Sitharama Raju,56.72,-,-,-
Polavaram,38.23,-,-,-
Visakhapatnam,127.91,119.82,-6.32,Normal
Anakapalli,87.33,-,-,-
Kakinada,92.14,-,-,-
Konaseema,129.12,-,-,-
East Godavari,60.25,179.23,197.48,Excess
West Godavari,92.47,142.28,53.87,Excess
Eluru,41.01,-,-,-
Krishna,97.34,129.08,32.61,Excess
NTR,39.31,-,-,-
Guntur,77.71,133.51,71.81,Excess
Bapatla,125.89,-,-,-
Palnadu,67.91,-,-,-
Prakasam,170.6,261.53,53.3,Excess
Markapuram,113.63,-,-,-
Sri Potti Sriramulu Nellore,301.8,697.81,131.22,Excess
Kurnool,28.38,94.14,231.71,Excess
Nandyal,26.95,-,-,-
Ananthapuramu,28.64,202.23,606.11,Excess
Sri Sathya Sai,40.6,-,-,-
Y.S.R Kadapa,81.78,392.65,380.13,Excess
Annamayya,87.94,-,-,-
Chittoor,145.45,446.02,206.65,Excess
Tirupati,274.12,-,-,-
COASTAL ANDHRA REGION,97.63,-,-,-
RAYALASEEMA REGION,89.23,-,-,-
Andhra Pradesh,95.23,240.39,152.43,Excess
