District Wise Rainfall For Andhra Pradesh From Jun 01-2025  To Apr 17-2026

DISTRICT,2/26/01,,3/26/01,,Apr 01-2026 - Apr 17-2026,,Jun 01-2025 - Apr 17-2026,,,
,Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),Deviation (%),Status
Srikakulam,19.58,2.18,19.44,11.36,29.01,10.3,1051.8,1072,1.92,NORMAL
Vizianagaram,16.35,1.72,17.42,7.4,26.61,18.62,987.2,1177.3,19.26,NORMAL
Manyam,16.69,7.96,29.48,12.17,36.44,11.09,1035.9,1076.2,3.89,NORMAL
Alluri Sitharama Raju,10.22,12.9,21.81,19.38,50.46,10.14,1158.5,1315.6,13.56,NORMAL
Polavaram,-,-,4.4,1.7,10.09,8.23,1153.1,1160.4,0.63,NORMAL
Visakhapatnam,12.61,0.38,17.38,4.45,19.03,1.56,1006.2,995.2,-1.09,NORMAL
Anakapalli,13.65,3.58,20.2,17.36,26.01,13.49,1049.5,1113,6.05,NORMAL
Kakinada,13.43,2.98,12.94,5.92,17.51,6.03,1011.9,872.8,-13.75,NORMAL
Kona Seema,11.14,4.82,11.71,0.83,11.07,13.52,1232.8,957.6,-22.32,DEFICIENT
East Godavari,7.79,4.64,15.21,8.57,18.46,14.73,1054.4,799.4,-24.18,DEFICIENT
West Godavari,8.9,0.97,14.87,0.48,14.41,3.6,1141.3,941.7,-17.49,NORMAL
Eluru,7.16,3,14.19,8.55,19.49,12.79,986.1,1102.8,11.83,NORMAL
Krishna,10.16,0.44,10.92,2.26,10.45,3.56,985.9,892.3,-9.49,NORMAL
NTR,4.35,12.76,7.62,1.84,15.17,5.13,958.5,1129.1,17.8,NORMAL
Guntur,9.48,0.15,9.84,3.49,11.09,0.53,827.6,1092.4,32,EXCESS
Bapatla,6.33,0.17,5.82,0.48,9.6,0.09,883.3,879.8,-0.4,NORMAL
Palnadu,9.5,0.36,8.88,0.86,12.31,1.97,717.3,781.8,8.99,NORMAL
Prakasam,4.54,0.11,8.66,1.53,13.32,5.28,898.8,872.8,-2.89,NORMAL
Markapuram,-,-,3.14,4.56,4.47,3.96,690.5,781.4,13.16,NORMAL
S.P.S.Nellore,5.47,0.62,5.53,0.1,9.85,3.29,993.8,1062.8,6.94,NORMAL
Kurnool,1.48,0.2,5.39,1.99,15.33,0.4,566.8,692.2,22.12,EXCESS
Nandyal,2.3,0.07,4.96,1.2,18.41,0.36,676.4,862.4,27.5,EXCESS
Anantapuramu,0.81,0.26,1.88,4.45,12.11,0.43,470.1,473.3,0.68,NORMAL
Sri Satyasai,1.86,0.23,4.19,0.61,13.3,0.13,541.6,518.3,-4.3,NORMAL
Y.S.R.Kadapa,0.89,0.02,2.42,1.14,11.52,1.09,643.3,724.9,12.68,NORMAL
Annamayya,2.88,0.02,7.28,0.63,15.32,0.63,685.1,783.5,14.36,NORMAL
Chittoor,2.84,0.38,9.57,0.78,18.86,2.42,847.4,995.7,17.5,NORMAL
Tirupati,7.02,0.03,5.19,0.13,11.16,3.5,1029.3,1239,20.37,EXCESS
COASTAL ANDHRA REGION,10.27,3.09,13.68,6.26,19.53,7.19,981.22,1002.53,2.81,NORMAL
RAYALASEEMA REGION,3.31,0.14,6.48,0.95,15.82,1.46,761,914.56,20.37,EXCESS
Andhra Pradesh,6.33,2.12,9.56,4.4,17.44,4.56,903,919.4,1.82,NORMAL
