Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,4/16/26,215.81,820.6,41.28,174.53,4/16/26,0,1875,Krishna,Nandyal,-
NAGARJUNA SAGAR,4/16/26,312.05,527.3,162.92,149.13,4/16/26,4208,4205,Krishna,Palnadu,-
PULICHINTHALA PROJECT,4/16/26,45.77,165.88,32.75,13.02,4/16/26,0,2100,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,4/16/26,11,781.33,2.98,8.02,4/16/26,0,20,Pennar,Nandyal,-
GAJULADINNE PROJECT,4/16/26,4.5,1228.93,2.4,2.1,4/16/26,40,230,Krishna,Kurnool,-
BUGGAVAGU,4/16/26,3.46,457.8,1.76,1.7,4/16/26,0,292,Krishna,Palnadu,-
PRAKASAM BARRAGE,4/16/26,3.07,57.05,3.07,0,4/16/26,3955,4257,Krishna,NTR,-
GONELAVAGU RESERVOIR,4/16/26,1.77,331.05,0.35,1.43,4/16/26,0,114,Other,Eluru,-
SUNKESULA BARRAGE,4/16/26,1.2,957.68,1.19,0.01,4/16/26,0,221,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,4/16/26,0.38,1174.53,0.06,0.32,4/16/26,0,0,Krishna,Nandyal,-
ZURRERU RESERVOIR,4/16/26,0.26,854.3,0.12,0.14,4/16/26,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,4/16/26,0.07,849.77,0,0.07,4/16/26,0,0,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,4/16/26,0.13,214.17,0,0.13,4/16/26,0,0,Krishna,NTR,-
YERRAKALVA RESERVOIR,4/16/26,4.43,262.17,2.16,2.27,4/16/26,0,150,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,4/16/26,2.93,43.9,2.76,0.17,4/16/26,7446,7600,GODAVARI,Konaseema,-
MUSURIMALLI,4/10/26,1.6,364.83,0.19,1.41,4/10/26,30,130,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,4/16/26,1.23,331.25,0.15,1.08,4/16/26,0,0,Other,Eluru,-
BHUPATIPALEM RESERVOIR,4/16/26,0.65,663.87,0.54,0.11,4/16/26,0,100,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,4/16/26,0.48,574,0.05,0.43,4/16/26,1,2,Other,Polavaram,-
KOVVADAKALVA RESERVOIR,4/13/26,0.44,265.1,0.02,0.42,4/13/26,0,13,GODAVARI,East Godavari,-
JALLERU RESERVOIR,4/16/26,0.54,689.96,0.18,0.36,4/16/26,0,5,Other,Eluru,-
