Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,11/19/21,215.81,856.07,94.66,121.15,11/19/21,8758,3438,Krishna,Nandyal,-
NAGARJUNA SAGAR,11/19/21,312.05,588.4,307.28,4.77,11/19/21,5371,5371,Krishna,Palnadu,-
PULICHINTHALA PROJECT,11/19/21,45.77,168.93,36.64,9.13,11/19/21,0,1400,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,11/19/21,11,845.69,10.79,0.21,11/19/21,617,55,Pennar,Nandyal,-
GAJULADINNE PROJECT,11/19/21,4.5,1235.43,3.09,1.41,11/19/21,972.22,10,Krishna,Kurnool,-
BUGGAVAGU,-,3.46,-,-,3.46,-,-,-,Krishna,Palnadu,-
PRAKASAM BARRAGE,11/19/21,3.07,57.05,3.07,0,11/19/21,11324,15549,Krishna,NTR,-
GONELAVAGU RESERVOIR,-,1.77,324.93,0.19,1.58,-,-,-,Other,Eluru,-
SUNKESULA BARRAGE,11/19/21,1.2,957.02,1.11,0.09,11/19/21,11203,11203,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,-,0.38,1177.07,0.07,0.31,-,-,-,Krishna,Nandyal,-
ZURRERU RESERVOIR,11/19/21,0.26,858.33,0.16,0.1,11/19/21,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,-,0.07,-,-,0.07,-,-,-,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,-,0.13,222.08,0.13,0,-,-,-,Krishna,NTR,-
YERRAKALVA RESERVOIR,11/19/21,4.43,265.91,3.59,0.84,11/19/21,0,0,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,11/19/21,2.93,44.75,2.93,0,11/19/21,23210,22978,GODAVARI,Konaseema,-
MUSURIMALLI,11/19/21,1.6,378.15,0.59,1.01,11/19/21,240,240,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,11/19/21,1.23,347.21,0.63,0.6,11/19/21,85,20,Other,Eluru,-
BHUPATIPALEM RESERVOIR,11/19/21,0.65,669.16,0.64,0.01,11/19/21,200,200,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,11/19/21,0.48,615.81,0.46,0.02,11/19/21,18,18,Other,Polavaram,-
