Soil moisture summary

DISTRICT,Available Soil Moisture(T.M.C) till 5 cms depth,Available Soil Moisture(%) till 5 cms depth,Available Soil Moisture(T.M.C) till 30 cms depth,Available Soil Moisture(%) till 30 cms depth,Available Soil Moisture(T.M.C) till 100 cms depth,Available Soil Moisture(%) till 100 cms depth,Available Soil Moisture(T.M.C) till 150 cms depth,Available Soil Moisture(%) till 150 cms depth
Srikakulam,0.6,76.01,2.11,35.31,13.2,62.68,23.08,72.43
Vizianagaram,0.45,68.31,1.52,28.1,11.16,60.94,19.95,72.4
Parvathipuram Manyam,0.44,63.17,1,21.79,6.38,42.95,11.3,50.93
Alluri Sitharama Raju,0.84,74.02,2,20.98,13.35,42.81,23.77,50.93
Polavaram,0.68,62.02,1.69,21.07,8.6,35.66,14.71,41.35
Visakhapatnam,0.07,39.16,0.47,35.77,2.87,63.81,4.95,73.02
Anakapalli,0.56,76.88,1.79,40.31,9.86,64.05,16.94,72.69
Kakinada,0.34,56.95,1.19,30.58,7.93,57.28,13.98,66.68
Konaseema,0.22,69.08,1.29,52.78,6.6,75.67,11.06,83.26
East Godavari,0.29,60.22,0.85,20.8,7.94,56.13,14.58,68.31
West Godavari,0.19,52.35,0.8,27.4,6.64,63.33,12,75.45
Eluru,0.48,41.83,2.1,24.37,15.81,54.3,28.23,64.56
Krishna,0.11,16.71,1.87,36.66,12.46,69.39,21.63,79.67
NTR,0.32,60.93,0.93,21.53,8,55.8,14.58,67.72
Guntur,0.12,28.19,1.03,33.01,7.5,67.19,13.22,78.15
Bapatla,0.04,9.5,1.48,37.52,9.8,70.12,16.98,80.16
Palnadu,0.42,31.39,1.34,13.77,14.08,42.73,26.1,52.87
Prakasam,0.3,28.02,2.44,26.99,19.73,62.58,35.3,74.39
Markapuram,1.14,59.58,2.94,20.49,20.08,45.12,35.78,54.68
Sri Potti Sriramulu Nellore,1.07,62.91,10.02,69.64,41.37,84.2,65.55,88.83
Kurnool,0.33,25.88,0.65,5.86,17.02,44.28,33.13,57.13
Nandyal,0.36,18.21,1.26,9.36,17.24,38.09,32.5,47.94
Ananthapuramu,0.66,36.54,1.13,8.32,20.92,50.84,40.34,65.6
Sri Sathya Sai,0.86,50.7,1.73,13.82,20.09,52.56,37.75,66.38
Y.S.R Kadapa,1.29,60.14,4.33,26.29,28.25,53.68,49.75,63.48
Annamayya,1.04,75.7,3.68,39.79,18.97,63.54,32.15,72.69
Chittoor,0.92,88.38,3.64,45.24,18.06,67.01,30.31,75.11
Tirupati,1.18,61.64,7.78,55.37,31.62,69.78,50.18,74.66
COASTAL ANDHRA REGION,8.66,53.16,38.85,30.96,243.35,57.28,423.7,66.44
RAYALASEEMA REGION,6.65,49.7,24.2,24.25,172.17,54.11,306.11,64.61
Total,15.31,51.67,63.05,28.07,415.52,55.91,729.81,65.65
