WCStructures

DISTRICT,Farm Ponds,,,Check Dams (E),,,Percolation Tanks,,,Others,,,Total,,
,Count(nos),Capacity(mcft),Storage(mcft),Count(nos),Capacity(mcft),Storage(mcft),Count(nos),Capacity(mcft),Storage(mcft),Count(nos),Capacity(mcft),Storage(mcft),Count(nos),Capacity(mcft),Storage(mcft)
Srikakulam,6761,48,16.52,4135,1450.55,117.56,534,188.5,10.27,20099,451.67,32.22,31529,2138.72,176.57
Vizianagaram,42381,300.91,92.7,3769,1314.17,144.05,30,10.59,3.51,17481,169.46,18.4,63661,1795.13,258.67
Parvathipuram Manyam,10679,75.82,41.83,1226,429.89,69.64,363,128.14,19.95,4722,226.25,35.51,16990,860.1,166.93
Alluri Sitharama Raju,1528,10.85,8,173,59.03,38.16,178,62.83,35.12,832,249.6,138.02,2711,382.31,219.3
Polavaram,339,2.41,1.38,238,83.15,57.08,146,51.54,14.53,351,41.72,16.49,1074,178.82,89.47
Visakhapatnam,1425,10.12,6.27,109,36.91,12.39,17,6,0.11,1136,6.37,1.47,2687,59.4,20.24
Anakapalli,13317,94.55,64.71,802,263.52,104.59,105,37.07,9.58,17564,201.46,59.03,31788,596.59,237.91
Kakinada,8715,61.88,24.6,455,157.58,39.31,31,10.94,4.84,33937,37.51,15.97,43138,267.91,84.72
Konaseema,2006,14.24,11.58,0,0,0,0,0,0,49662,15.38,14.01,51668,29.62,25.59
East Godavari,6881,48.86,36.18,40,13.84,10.48,22,7.77,0.13,25836,20.35,14.99,32779,90.81,61.78
West Godavari,448,3.18,2.72,1,0.35,0.33,0,0,0,49534,17.87,15.32,49983,21.4,18.37
Eluru,14865,105.54,65.58,475,158.13,62.65,16,5.65,2.33,30136,118.87,52.62,45492,388.19,183.18
Krishna,4069,28.89,12.88,18,6.35,1.29,5,1.77,0.71,72367,48.29,14.9,76459,85.29,29.78
NTR,10230,72.63,39.87,573,177.95,66.77,8,2.82,0.73,15902,77.93,30.36,26713,331.34,137.73
Guntur,3846,27.31,16.83,36,9.88,5.79,3,1.06,0.33,39212,47.64,23.96,43097,85.89,46.91
Bapatla,7987,56.71,9.02,119,42.01,0.93,46,16.24,0,60959,108.89,5.14,69111,223.85,15.09
Palnadu,11959,84.91,28.28,590,159.56,28.26,183,64.6,5.22,59866,315.85,43.7,72598,624.92,105.46
Prakasam,27197,193.1,13.3,1768,474.82,15.72,793,279.93,4.77,23807,1254.66,16.97,53565,2202.5,50.77
Markapuram,43006,305.34,61.9,2766,832.63,128.59,1297,457.84,28.4,10826,1224.85,120.4,57895,2820.67,339.28
Sri Potti Sriramulu Nellore,24886,176.69,47.13,1017,285.72,57.76,752,265.46,47.66,38949,225.51,55.98,65604,953.38,208.53
Kurnool,43480,308.71,22.77,3808,1204.31,13.7,1200,423.6,2.58,18539,1009.56,11.43,67027,2946.17,50.48
Nandyal,22221,157.77,13.96,2221,669.7,15.97,202,71.31,1.94,41796,791.16,39.4,66440,1689.94,71.28
Ananthapuramu,61681,437.94,79.32,4851,1565.08,159.37,1981,699.29,22.44,13751,2594.41,85.21,82264,5296.72,346.34
Sri Sathya Sai,48648,345.4,46.83,5017,1616.96,140.18,582,205.45,12.02,5904,1656.79,40.08,60151,3824.6,239.12
Y.S.R Kadapa,72284,513.22,106.26,4215,1367.12,228.4,484,170.85,7.2,23550,1389.11,128.06,100533,3440.3,469.93
Annamayya,43502,308.86,61.65,3115,945.41,77.96,1066,376.3,6.32,12295,2080.21,75.38,59978,3710.78,221.31
Chittoor,45844,325.49,120.09,2301,730.06,184.02,357,126.02,6.06,7930,1051.03,93.72,56432,2232.6,403.89
Tirupati,40678,288.81,170.61,1962,632.01,293.59,602,212.51,73.23,24571,644.7,167.49,67813,1778.03,704.92
COASTAL ANDHRA REGION,242525,1721.93,601.28,18310,5956.04,961.35,4529,1598.74,188.18,573178,4860.12,725.48,838542,14136.82,2476.29
RAYALASEEMA REGION,378338,2686.2,621.49,27490,8730.65,1113.21,6474,2285.32,131.8,148336,11216.98,640.78,560638,24919.15,2507.28
Andhra Pradesh,620863,4408.13,1222.77,45800,14686.69,2074.56,11003,3884.06,319.98,721514,16077.1,1366.25,1399180,39055.97,4983.56
